 Q1    |  Q2    |  Q3    |  Total 
---------------------------------
0.7500 | 0.7500 | 0.7500 | 1844.0
0.7500 | 0.7500 | 0.8333 | 1883.5
0.7500 | 0.7500 | 0.9167 | 1889.5
0.7500 | 0.7500 | 1.0000 | 2204.5
0.7500 | 0.8333 | 0.7500 | 2287.5
0.7500 | 0.8333 | 0.8333 | 2309.0
0.7500 | 0.8333 | 0.9167 | 2081.0
0.7500 | 0.8333 | 1.0000 | 2152.0
0.7500 | 0.9167 | 0.7500 | 1904.5
0.7500 | 0.9167 | 0.8333 | 1947.5
0.7500 | 0.9167 | 0.9167 | 2013.0
0.7500 | 0.9167 | 1.0000 | 2026.5
0.7500 | 1.0000 | 0.7500 | 2091.5
0.7500 | 1.0000 | 0.8333 | 2343.5
0.7500 | 1.0000 | 0.9167 | 2251.5
0.7500 | 1.0000 | 1.0000 | 2236.0
0.8333 | 0.7500 | 0.7500 | 1799.5
0.8333 | 0.7500 | 0.8333 | 1943.0
0.8333 | 0.7500 | 0.9167 | 1946.5
0.8333 | 0.7500 | 1.0000 | 2048.0
0.8333 | 0.8333 | 0.7500 | 2065.5
0.8333 | 0.8333 | 0.8333 | 2210.5
0.8333 | 0.8333 | 0.9167 | 2392.0
0.8333 | 0.8333 | 1.0000 | 2204.0
0.8333 | 0.9167 | 0.7500 | 1978.5
0.8333 | 0.9167 | 0.8333 | 1888.0
0.8333 | 0.9167 | 0.9167 | 1893.5
0.8333 | 0.9167 | 1.0000 | 1929.0
0.8333 | 1.0000 | 0.7500 | 2105.0
0.8333 | 1.0000 | 0.8333 | 2262.0
0.8333 | 1.0000 | 0.9167 | 2268.5
0.8333 | 1.0000 | 1.0000 | 2123.5
0.9167 | 0.7500 | 0.7500 | 2228.0
0.9167 | 0.7500 | 0.8333 | 1853.5
0.9167 | 0.7500 | 0.9167 | 1936.0
0.9167 | 0.7500 | 1.0000 | 1976.0
0.9167 | 0.8333 | 0.7500 | 2014.5
0.9167 | 0.8333 | 0.8333 | 2037.0
0.9167 | 0.8333 | 0.9167 | 2437.5
0.9167 | 0.8333 | 1.0000 | 2209.5
0.9167 | 0.9167 | 0.7500 | 2186.0
0.9167 | 0.9167 | 0.8333 | 1863.5
0.9167 | 0.9167 | 0.9167 | 1931.0
0.9167 | 0.9167 | 1.0000 | 1912.5
0.9167 | 1.0000 | 0.7500 | 2113.5
0.9167 | 1.0000 | 0.8333 | 2108.0
0.9167 | 1.0000 | 0.9167 | 2183.5
0.9167 | 1.0000 | 1.0000 | 2417.5
1.0000 | 0.7500 | 0.7500 | 2183.0
1.0000 | 0.7500 | 0.8333 | 1995.0
1.0000 | 0.7500 | 0.9167 | 1875.0
1.0000 | 0.7500 | 1.0000 | 1915.5
1.0000 | 0.8333 | 0.7500 | 2017.5
1.0000 | 0.8333 | 0.8333 | 2035.5
1.0000 | 0.8333 | 0.9167 | 2218.5
1.0000 | 0.8333 | 1.0000 | 2348.5
1.0000 | 0.9167 | 0.7500 | 2117.0
1.0000 | 0.9167 | 0.8333 | 2247.5
1.0000 | 0.9167 | 0.9167 | 1810.0
1.0000 | 0.9167 | 1.0000 | 1917.0
1.0000 | 1.0000 | 0.7500 | 1949.0
1.0000 | 1.0000 | 0.8333 | 1994.0
1.0000 | 1.0000 | 0.9167 | 2102.5
1.0000 | 1.0000 | 1.0000 | 2427.5
